epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1479.33,0.86581,0.48057,0.99466,0.98317,0.97388,0.98462,0.78285,0.81797,0.38693,0.96481,0.0007724,0.0007724,0.0007724
64,1502.85,0.85416,0.47156,0.98958,0.97429,0.98266,0.98203,0.7743,0.83018,0.38494,0.96986,0.0007526,0.0007526,0.0007526
65,1525.34,0.84343,0.47059,0.99099,0.98138,0.97615,0.98375,0.7844,0.82703,0.37742,0.97072,0.0007328,0.0007328,0.0007328
66,1548.32,0.85778,0.4811,0.99749,0.98012,0.97593,0.98344,0.77938,0.82628,0.38615,0.97684,0.000713,0.000713,0.000713
67,1571.94,0.84774,0.47796,0.99171,0.98448,0.97778,0.98226,0.76647,0.85388,0.37911,0.98558,0.0006932,0.0006932,0.0006932
68,1594,0.85893,0.47637,0.99468,0.98854,0.97778,0.98173,0.77701,0.83339,0.38193,0.97542,0.0006734,0.0006734,0.0006734
69,1617.53,0.84941,0.47408,0.99424,0.98859,0.97778,0.98284,0.78253,0.82265,0.37769,0.96712,0.0006536,0.0006536,0.0006536
70,1640.48,0.84115,0.46928,0.98996,0.98489,0.97778,0.98324,0.78541,0.81327,0.36664,0.97018,0.0006338,0.0006338,0.0006338
71,1662.8,0.83783,0.46519,0.98648,0.98785,0.97407,0.98413,0.7834,0.81995,0.37374,0.96233,0.000614,0.000614,0.000614
72,1686.55,0.8423,0.4695,0.98909,0.98446,0.97778,0.98555,0.78554,0.83259,0.37737,0.96959,0.0005942,0.0005942,0.0005942
73,1708.77,0.83494,0.46003,0.98083,0.98456,0.97407,0.98512,0.777,0.83705,0.37577,0.96886,0.0005744,0.0005744,0.0005744
74,1731.92,0.82855,0.45733,0.97842,0.98513,0.98131,0.98861,0.77938,0.82753,0.36842,0.97115,0.0005546,0.0005546,0.0005546
75,1755.57,0.82139,0.45262,0.97794,0.98451,0.97778,0.98549,0.78817,0.81653,0.36628,0.96642,0.0005348,0.0005348,0.0005348
76,1778.18,0.83127,0.45677,0.97407,0.98421,0.98148,0.98522,0.78443,0.81378,0.36379,0.96832,0.000515,0.000515,0.000515
77,1801.67,0.8198,0.45174,0.97449,0.9888,0.98085,0.98538,0.78421,0.82122,0.36824,0.96779,0.0004952,0.0004952,0.0004952
78,1824.52,0.8245,0.44234,0.98511,0.98646,0.98148,0.98408,0.79175,0.806,0.36184,0.96188,0.0004754,0.0004754,0.0004754
79,1847.61,0.81246,0.44706,0.97499,0.98513,0.98174,0.98459,0.79163,0.80116,0.36352,0.96067,0.0004556,0.0004556,0.0004556
80,1871.17,0.81889,0.43957,0.97526,0.98335,0.98414,0.98368,0.7925,0.80075,0.35745,0.96087,0.0004358,0.0004358,0.0004358
81,1893.91,0.80854,0.43533,0.97414,0.98697,0.98153,0.98473,0.78622,0.81945,0.3575,0.97025,0.000416,0.000416,0.000416
82,1917.08,0.79213,0.4313,0.96691,0.98695,0.98062,0.98306,0.78677,0.81751,0.36091,0.96759,0.0003962,0.0003962,0.0003962
83,1940.94,0.80902,0.43455,0.96876,0.98899,0.98333,0.98621,0.78363,0.81541,0.35692,0.97096,0.0003764,0.0003764,0.0003764
84,1963.07,0.81652,0.43265,0.97991,0.9867,0.98148,0.98351,0.79072,0.80327,0.35634,0.96452,0.0003566,0.0003566,0.0003566
85,1986.84,0.80736,0.43556,0.97251,0.98871,0.98148,0.98359,0.78618,0.80862,0.35672,0.96741,0.0003368,0.0003368,0.0003368
86,2010.72,0.79851,0.43392,0.96442,0.98884,0.98464,0.98343,0.79486,0.79716,0.35123,0.96241,0.000317,0.000317,0.000317
87,2033.49,0.79841,0.43268,0.96706,0.99036,0.97963,0.98464,0.79079,0.80992,0.35163,0.96832,0.0002972,0.0002972,0.0002972
88,2057.33,0.7969,0.42601,0.9702,0.98794,0.98148,0.98442,0.79213,0.80622,0.34869,0.97001,0.0002774,0.0002774,0.0002774
89,2079.94,0.78822,0.42222,0.96775,0.98818,0.98333,0.98489,0.79718,0.79502,0.3395,0.96263,0.0002576,0.0002576,0.0002576
90,2103.28,0.77565,0.41426,0.96069,0.98878,0.97931,0.98456,0.79254,0.80068,0.34414,0.96224,0.0002378,0.0002378,0.0002378
91,2127.93,0.76983,0.38389,0.95101,0.98882,0.98309,0.98365,0.78596,0.80607,0.35456,0.96831,0.000218,0.000218,0.000218
92,2149.21,0.74113,0.35982,0.93979,0.98883,0.9832,0.98391,0.78565,0.81918,0.3458,0.97011,0.0001982,0.0001982,0.0001982
93,2171.65,0.7544,0.36217,0.94165,0.98647,0.98148,0.98369,0.78921,0.80468,0.34587,0.96475,0.0001784,0.0001784,0.0001784
94,2193.81,0.73102,0.35261,0.94125,0.98883,0.98382,0.98537,0.79697,0.79878,0.34362,0.96293,0.0001586,0.0001586,0.0001586
95,2215.24,0.73029,0.35616,0.93298,0.98659,0.98148,0.98455,0.79585,0.79992,0.34357,0.96179,0.0001388,0.0001388,0.0001388
96,2237.95,0.7312,0.35547,0.93278,0.98698,0.98275,0.98452,0.7979,0.79911,0.34397,0.96238,0.000119,0.000119,0.000119
97,2259.48,0.72547,0.34932,0.93453,0.9864,0.98148,0.98459,0.7975,0.79861,0.34461,0.96376,9.92e-05,9.92e-05,9.92e-05
98,2282.24,0.73367,0.35342,0.9387,0.98696,0.98143,0.98478,0.79892,0.79488,0.33937,0.9638,7.94e-05,7.94e-05,7.94e-05
99,2303.85,0.71696,0.34497,0.93021,0.98696,0.98108,0.98492,0.79844,0.79284,0.33992,0.96214,5.96e-05,5.96e-05,5.96e-05
100,2326.5,0.71898,0.34717,0.92992,0.98667,0.98148,0.98498,0.79912,0.79319,0.34068,0.96359,3.98e-05,3.98e-05,3.98e-05
